FILE data/history.csv
```
segment,quarter,unemployment,hpi_growth,pd,lgd,prepay
A,1,5.0,0.03,0.026,0.27480252761770685,0.049
A,2,5.054829710091662,0.041789659017845655,0.0252,0.26114530115755263,0.0466
A,3,4.60317312477162,0.06512775389271633,0.0184,0.21087934301084998,0.0532
A,4,5.358888730970511,0.05929937777921819,0.0271,0.25719765417663865,0.048
A,5,4.301548517695903,0.04929231245385771,0.0192,0.2277904394838667,0.056
A,6,4.565568554738555,0.05795942037862016,0.0165,0.20767646236282908,0.0541
A,7,4.647411545688347,0.06158909042001341,0.0186,0.19649688290356987,0.0521
A,8,5.566639734994175,0.06059483028682977,0.0235,0.23419461289916776,0.0479
A,9,4.954096262153274,0.039062429341124895,0.0255,0.264851121674334,0.0467
A,10,4.972265475556034,0.0320221957345087,0.0274,0.272562618288594,0.0481
A,11,5.391217616094684,0.0057584171913288955,0.0386,0.3774552659522026,0.0391
A,12,4.481737887292363,0.030540639938483414,0.0213,0.23401305155269225,0.052
A,13,3.7748308526939915,0.06173847288278552,0.0118,0.14730219461191332,0.0618
A,14,4.45124427347498,0.07366334139178037,0.0159,0.1564573842164452,0.0555
A,15,3.9207306651179383,0.11116343638188081,0.0081,0.10307093398743904,0.0722
A,16,4.992159425226792,0.0447413557811527,0.0259,0.26622588338749603,0.0498
A,17,5.331101202361506,0.039242226042598874,0.0308,0.2666474403398187,0.0469
A,18,5.610859963169949,0.03947826850048112,0.035,0.3034562338377528,0.0433
A,19,5.643564308695405,0.009663642877711064,0.0443,0.3514390063893828,0.0379
A,20,3.794711915502484,0.049409357219478436,0.0125,0.20527330336349994,0.0582
A,21,4.276929158184767,0.03584237586600487,0.0194,0.23082340349187686,0.0516
A,22,4.172132415624589,0.0052241379475764065,0.0242,0.26792098414604776,0.0472
A,23,4.662780558537314,0.04016054471233872,0.0224,0.23823256863242542,0.0508
A,24,5.7630580122928325,-0.0012522586036513364,0.0494,0.43182689619939024,0.0338
A,25,5.53406660831006,-0.006928520504921647,0.0499,0.36078832179872433,0.038
A,26,3.6968937223695715,0.05212626585871624,0.0112,0.18562754542618692,0.0596
A,27,4.6530363564551855,0.03698773138518105,0.0234,0.27063035738722047,0.0482
A,28,4.266158877403031,0.045782137652771004,0.016,0.19308442224327427,0.0574
A,29,3.717129423114587,0.04968907676656757,0.0122,0.21026856359752066,0.0544
A,30,3.9480384936017257,0.07672383531069937,0.0129,0.17392913742939092,0.06
A,31,3.815208453575635,0.03675044291557211,0.0151,0.18704283855464549,0.0561
A,32,3.996946348091639,0.02888712228585494,0.019,0.23800904240012163,0.0565
A,33,4.339799474923126,0.03332188659647394,0.0202,0.21398759801862743,0.0545
A,34,3.99191331640539,0.05619230965767243,0.014,0.18873589573735267,0.0592
A,35,3.5051000373080163,0.042042245427648006,0.0123,0.16777066325058163,0.0546
A,36,4.157314599262294,-0.011075852063795022,0.028,0.3036178675117768,0.0521
A,37,4.011638958433216,0.014791803599432824,0.0215,0.23262959593617527,0.0542
A,38,3.612958103958986,0.027762492349132768,0.0163,0.20758924352079572,0.0597
A,39,3.0610669314635643,0.05335999517907877,0.0108,0.1877818580708599,0.0622
A,40,2.128447520273231,0.05508235698099032,0.0065,0.15531768177495778,0.0765
A,41,3.2980284994843503,0.06882395619259052,0.009,0.12428055560109598,0.0665
A,42,4.063884902106783,-0.038742807630565285,0.0317,0.36139596683015335,0.0444
A,43,4.393825051360405,-0.002583188032547999,0.0284,0.33093294002101775,0.0466
A,44,4.503528152168555,0.021228210172995185,0.025,0.27943574322856773,0.0515
A,45,5.745252565405373,0.030348720220314693,0.0348,0.35613876670602956,0.0409
A,46,4.96419735202316,0.014924949232196352,0.0252,0.2834579446933154,0.0414
A,47,4.772726466826357,0.015817943807086156,0.0264,0.27693437043295693,0.0473
A,48,5.341577585630523,0.001076068961347234,0.0388,0.35896753000012727,0.0421
A,49,5.786945467630654,0.04254239646127104,0.0331,0.2808486651297505,0.0433
A,50,5.006196268490664,0.04664747536119726,0.0242,0.2573264099530766,0.0482
A,51,4.3231242037720845,0.030347795808334323,0.0196,0.26350052105063104,0.0516
A,52,5.586138336253663,0.026393678808574666,0.0384,0.3593306361161247,0.0393
A,53,5.138961012240946,0.028170328400253623,0.027,0.29393661629412465,0.0439
A,54,4.222229969060276,0.03220077879352763,0.0165,0.2256871035239521,0.0532
A,55,4.894859679418456,0.027177759241122985,0.0282,0.31819677381621253,0.0443
A,56,4.590909645514719,0.0467237252102317,0.0203,0.21424268114711073,0.0476
A,57,4.434619189989959,0.04692578306620042,0.0183,0.1965243256292077,0.0543
A,58,3.8829417223816103,0.054869029038597236,0.0134,0.2432333483285275,0.0561
A,59,4.802588905782195,0.06735308771615162,0.0188,0.19773941548750198,0.0538
A,60,4.956552216774394,0.042894609439632726,0.0251,0.23621449341386586,0.0494
A,61,4.74155137898678,0.041039109287909804,0.0213,0.2491973189590526,0.0504
A,62,3.9864103072822683,0.05463135452124153,0.0134,0.19319517527565755,0.0551
A,63,4.105897493292593,0.05085423069708454,0.013,0.19279868203818634,0.0529
A,64,5.069384817365396,0.04089044914882603,0.025,0.24526430356268397,0.0462
A,65,4.5414488281608385,0.040198740254693555,0.0186,0.21027371316529114,0.0504
A,66,5.495188755891961,0.0497640890278091,0.032,0.2761935794600066,0.0467
A,67,5.541336415366123,0.02913786545020747,0.0359,0.31053394936700984,0.0432
A,68,5.1411959147591135,0.022062775100251807,0.0313,0.2978453607461592,0.0419
A,69,4.585940114847747,0.07828074669384805,0.0145,0.2157464730754155,0.06
A,70,3.9719540538616758,0.054898767678834774,0.0145,0.21186681671521193,0.0588
A,71,4.006565875619771,0.04129375023975955,0.0161,0.24544927276095815,0.0555
A,72,5.08492209418505,-0.012358409833724479,0.0408,0.35054718760274634,0.0448
A,73,5.840025161636157,-0.007267651620614053,0.0562,0.39200261731979097,0.0352
A,74,5.402270308081587,0.004904098782149469,0.0387,0.37473896459490896,0.0407
A,75,4.049962987877945,-0.00689394239309702,0.0281,0.28230027665914903,0.0458
A,76,4.629590903706622,0.006972068604837983,0.0276,0.3136064072987608,0.0476
A,77,4.515244163630784,0.04688673171847524,0.0176,0.24058499308756273,0.0557
A,78,5.623330758001448,0.02838882996177535,0.0389,0.3030916098581002,0.0438
A,79,5.23476460888764,0.0248311250353328,0.0306,0.30884820793196105,0.0437
A,80,6.5275265931931985,-0.01547098888689645,0.0785,0.44063143806874466,0.0342
B,1,5.0,0.03,0.0095,0.46325622440718617,0.1078
B,2,5.054829710091662,0.041789659017845655,0.009,0.47040434751950333,0.1084
B,3,4.60317312477162,0.06512775389271633,0.0062,0.4174253816808894,0.1242
B,4,5.358888730970511,0.05929937777921819,0.0113,0.4921060739219495,0.1161
B,5,4.301548517695903,0.04929231245385771,0.0054,0.4534136970066976,0.1245
B,6,4.565568554738555,0.05795942037862016,0.0074,0.4677623775178151,0.1256
B,7,4.647411545688347,0.06158909042001341,0.0074,0.41288016183545134,0.1239
B,8,5.566639734994175,0.06059483028682977,0.013,0.4726054630609564,0.1155
B,9,4.954096262153274,0.039062429341124895,0.0089,0.5514993776775836,0.1068
B,10,4.972265475556034,0.0320221957345087,0.0101,0.5058750357352856,0.1094
B,11,5.391217616094684,0.0057584171913288955,0.0143,0.5870699448250568,0.0899
B,12,4.481737887292363,0.030540639938483414,0.008,0.4484263173596924,0.1068
B,13,3.7748308526939915,0.06173847288278552,0.0056,0.3523236884099534,0.142
B,14,4.45124427347498,0.07366334139178037,0.0069,0.39147097462031116,0.138
B,15,3.9207306651179383,0.11116343638188081,0.0041,0.3074796167656016,0.1713
B,16,4.992159425226792,0.0447413557811527,0.0092,0.4550052615674967,0.1161
B,17,5.331101202361506,0.039242226042598874,0.0113,0.5380577483200552,0.106
B,18,5.610859963169949,0.03947826850048112,0.0139,0.5414358484450997,0.1066
B,19,5.643564308695405,0.009663642877711064,0.0166,0.5808416887290617,0.0873
B,20,3.794711915502484,0.049409357219478436,0.0054,0.3561936204281157,0.1282
B,21,4.276929158184767,0.03584237586600487,0.0066,0.4283774428945288,0.1146
B,22,4.172132415624589,0.0052241379475764065,0.0074,0.4477344951448966,0.1044
B,23,4.662780558537314,0.04016054471233872,0.0082,0.41962178653165055,0.1178
B,24,5.7630580122928325,-0.0012522586036513364,0.0156,0.5645261923524603,0.084
B,25,5.53406660831006,-0.006928520504921647,0.0178,0.5793582031254386,0.0822
B,26,3.6968937223695715,0.05212626585871624,0.0051,0.3965665459845179,0.1306
B,27,4.6530363564551855,0.03698773138518105,0.0088,0.45150079595997095,0.1102
B,28,4.266158877403031,0.045782137652771004,0.0068,0.41169020097666303,0.1214
B,29,3.717129423114587,0.04968907676656757,0.0044,0.37237508185133944,0.1353
B,30,3.9480384936017257,0.07672383531069937,0.0041,0.37526953769739635,0.1488
B,31,3.815208453575635,0.03675044291557211,0.0062,0.3939209406492366,0.1221
B,32,3.996946348091639,0.02888712228585494,0.0053,0.42820550383667993,0.1187
B,33,4.339799474923126,0.03332188659647394,0.0069,0.4121022794747326,0.1183
B,34,3.99191331640539,0.05619230965767243,0.0045,0.4004012933047572,0.1393
B,35,3.5051000373080163,0.042042245427648006,0.0037,0.3931298994055668,0.1283
B,36,4.157314599262294,-0.011075852063795022,0.0078,0.4711429992543545,0.1012
B,37,4.011638958433216,0.014791803599432824,0.0053,0.4340855388319881,0.1073
B,38,3.612958103958986,0.027762492349132768,0.0063,0.4125516291694827,0.1218
B,39,3.0610669314635643,0.05335999517907877,0.0046,0.35806062936732275,0.144
B,40,2.128447520273231,0.05508235698099032,0.0025,0.28219597180191114,0.1634
B,41,3.2980284994843503,0.06882395619259052,0.0034,0.2990645909983915,0.157
B,42,4.063884902106783,-0.038742807630565285,0.0078,0.5434949797235442,0.0858
B,43,4.393825051360405,-0.002583188032547999,0.0078,0.49357721106356317,0.0967
B,44,4.503528152168555,0.021228210172995185,0.0076,0.5082265793384491,0.1092
B,45,5.745252565405373,0.030348720220314693,0.0138,0.5171143430205111,0.0914
B,46,4.96419735202316,0.014924949232196352,0.0118,0.5302450963072214,0.1037
B,47,4.772726466826357,0.015817943807086156,0.0097,0.5025536590742424,0.1035
B,48,5.341577585630523,0.001076068961347234,0.0153,0.5638103669054034,0.0861
B,49,5.786945467630654,0.04254239646127104,0.0141,0.5685149228290493,0.1019
B,50,5.006196268490664,0.04664747536119726,0.0106,0.48258672879542114,0.1094
B,51,4.3231242037720845,0.030347795808334323,0.0061,0.41015588062098346,0.1155
B,52,5.586138336253663,0.026393678808574666,0.0133,0.5318294553284987,0.0971
B,53,5.138961012240946,0.028170328400253623,0.0117,0.48976043847729417,0.106
B,54,4.222229969060276,0.03220077879352763,0.0075,0.4530568525268278,0.117
B,55,4.894859679418456,0.027177759241122985,0.0098,0.4809665621870236,0.1065
B,56,4.590909645514719,0.0467237252102317,0.0064,0.45844384496041596,0.1172
B,57,4.434619189989959,0.04692578306620042,0.0073,0.42459229321255,0.1232
B,58,3.8829417223816103,0.054869029038597236,0.0046,0.3517747488990001,0.1277
B,59,4.802588905782195,0.06735308771615162,0.0078,0.43495656621895806,0.1291
B,60,4.956552216774394,0.042894609439632726,0.0108,0.48560056094656096,0.11
B,61,4.74155137898678,0.041039109287909804,0.0096,0.4409091619146478,0.1161
B,62,3.9864103072822683,0.05463135452124153,0.006,0.43703077248711075,0.1313
B,63,4.105897493292593,0.05085423069708454,0.0066,0.40042296038645564,0.1311
B,64,5.069384817365396,0.04089044914882603,0.0095,0.5040925395776653,0.1089
