FILE data/history.csv
```
segment,quarter,unemployment,hpi_growth,pd,lgd,prepay
A,1,5.0,0.03,0.02,0.4330818181990168,0.0371
A,2,5.871793863272331,0.023790440386218102,0.0335,0.5424498426828246,0.0311
A,3,5.1056195073877335,0.049771441909975477,0.018,0.46297766608630175,0.036
A,4,4.616678569728358,0.05163051710405653,0.0138,0.4079822274360243,0.0387
A,5,4.638921935045495,0.017070430211469517,0.0169,0.4989211791026475,0.0372
A,6,4.952779350611639,0.030162368887118707,0.0189,0.536763238029703,0.0364
A,7,4.8732545362889255,0.07374359109326258,0.0149,0.43421105753153133,0.0439
A,8,4.935519179736033,0.036783189770758416,0.0197,0.446650407792956,0.0371
A,9,3.0198871951724993,0.0906319066708891,0.0039,0.3633869528393266,0.0597
A,10,3.835679138683685,0.09634793054753178,0.0065,0.34283214419412217,0.0544
A,11,4.043307077158801,0.07426433974020157,0.01,0.43528138792040405,0.0492
A,12,4.268283719726331,0.1043361248654681,0.0093,0.3974191906749915,0.0533
A,13,4.26339279444721,0.09317255582456895,0.0094,0.3553686541167258,0.0472
A,14,5.0712105284074465,0.08962003322856543,0.0147,0.42083243979166524,0.0455
A,15,5.637841326800864,0.07245998219400038,0.0213,0.48965722320581234,0.042
A,16,4.8596024940309634,0.07217684377633082,0.0168,0.4220252245186816,0.0428
A,17,4.591722021883206,0.1025112143325578,0.0118,0.3827343068952274,0.0508
A,18,4.904711221291698,0.0836883199675054,0.0133,0.39833250380460583,0.0455
A,19,3.968682173339756,0.08517799410544566,0.0077,0.37636986892401614,0.053
A,20,3.9801968238169696,0.0959314545293654,0.0088,0.3759018158637401,0.056
A,21,4.271835475561803,0.08350584380435591,0.0106,0.3703687364366278,0.0451
A,22,4.752030028443737,0.08077336634309432,0.0142,0.40702169110387715,0.0452
A,23,4.695154957709318,0.07885671440629483,0.0148,0.40375655298780366,0.0413
A,24,4.951085794211465,0.029987693865443425,0.021,0.4781753354710961,0.0352
A,25,5.565338166907022,0.02353284364077881,0.0268,0.5188024323892771,0.0316
A,26,4.778427062250802,0.023648760017476147,0.0173,0.517521015730944,0.037
A,27,4.696717113758825,0.0210253361322751,0.0166,0.5038404238590678,0.0354
A,28,4.799664512206919,0.05883175625327713,0.0149,0.4414744783608609,0.0414
A,29,4.760156263877651,0.048200397232427424,0.0148,0.4459171720975231,0.0374
A,30,5.175559529473,0.010686144660806245,0.0226,0.5323340617769927,0.0317
A,31,4.907621088386533,0.03086346605657556,0.0184,0.45311965783856967,0.034
A,32,6.478321735128794,0.005636432437531445,0.0482,0.5514711166222415,0.0259
A,33,5.74566239339655,0.037681359597953934,0.0295,0.5184381535180353,0.0365
A,34,5.524396027091783,0.013436540785665411,0.0276,0.5160101402428112,0.0348
A,35,4.961370869213359,0.049851614652795126,0.018,0.4720466176966511,0.039
A,36,4.4605456709677265,0.053833187101954685,0.0134,0.4263749276353949,0.0428
A,37,4.111821028931645,0.08082087594763263,0.0107,0.3504254764114652,0.0481
A,38,4.63929722671512,0.05833406516719664,0.0151,0.43366447081686577,0.0414
A,39,5.156679465166511,0.044751246381151716,0.0209,0.4679851274725167,0.0361
A,40,4.823626440756727,0.03008387474041135,0.0169,0.5221578501358252,0.0382
A,41,5.971736808026079,0.007748347528588537,0.0355,0.5514045815397148,0.0303
A,42,6.404341677043314,-0.0074914976077389145,0.0491,0.6524827496422084,0.0265
A,43,5.9504462797772435,0.00472849426803746,0.0361,0.5557418994202886,0.0281
A,44,5.406810365507549,0.004475572436058374,0.0276,0.5551306660341034,0.0316
A,45,6.641038704657983,-0.009080418478296944,0.0571,0.6114170160790008,0.0237
A,46,6.043920095073748,0.016820357138757493,0.0383,0.5517071075434337,0.0299
A,47,6.0729128695369115,-0.019969012851896707,0.0417,0.6640341874704876,0.0243
A,48,5.15407174115945,0.00861981098516662,0.0223,0.536374394893354,0.0288
A,49,4.898747008314414,-0.015794338674329,0.0202,0.4818051803102751,0.0318
A,50,5.41440244100653,-0.00690405778510976,0.0291,0.6016333372261067,0.027
A,51,5.416519176362155,0.0360432770688966,0.0254,0.49375287665553047,0.0326
A,52,5.019023305268464,0.04884459517567901,0.019,0.4526419101985635,0.0414
A,53,4.380363109292397,0.050886185856557915,0.011,0.42936429292404493,0.0407
A,54,4.629358431212602,0.03563347716969369,0.0139,0.4379070197176238,0.0383
A,55,5.185989959308728,0.021567753347442535,0.0222,0.52977664955869,0.0317
A,56,4.213443043988999,0.047978102299822745,0.0129,0.4245050613912981,0.0397
A,57,4.957945150996826,0.015745189333168458,0.0174,0.5214635232772782,0.032
A,58,5.646414635380442,0.001828736454794505,0.0316,0.5633113428601356,0.029
A,59,5.813032633385518,-0.0018903727256414787,0.0331,0.5830708407056412,0.0304
A,60,6.2376022964729465,-0.01505888745097557,0.0462,0.6634682776349766,0.0279
A,61,5.332337127971606,0.006191190340339516,0.0254,0.5726164311654852,0.0303
A,62,4.695984309465405,0.01442668425990261,0.0154,0.4852111227554986,0.0339
A,63,4.087440716436551,0.020493351296528146,0.0142,0.46038447415694705,0.0386
A,64,4.353469448167095,0.01281029673623316,0.014,0.4703399995494568,0.032
A,65,3.72903791739286,0.027296748426351138,0.0101,0.4373030287072512,0.0382
A,66,4.202957753512393,0.060674304247344144,0.0117,0.4283495967978714,0.0504
A,67,4.887067886863303,0.042097605258499204,0.0172,0.5040898962306655,0.0388
A,68,4.971568268298751,0.018404176884440692,0.0214,0.5033676196130562,0.0357
A,69,5.2156919227012,0.020019856218046375,0.0253,0.5131847896234847,0.033
A,70,5.048134004986429,0.03300240116390041,0.0187,0.4713704096014656,0.0361
A,71,5.34503160257784,0.03976550354699202,0.0224,0.4938786524249883,0.0387
A,72,5.76076619014624,0.02352297031668733,0.0296,0.5081706394131218,0.029
A,73,5.632910207351713,0.06345060397764483,0.0244,0.43888910000441594,0.0385
A,74,6.174587940432375,0.03509849719817297,0.041,0.5016100756352135,0.0318
A,75,5.673457353608652,0.0884642099971358,0.022,0.4233893360573954,0.0421
A,76,5.163058011174589,0.058255149524976936,0.0178,0.4593943000777852,0.0376
A,77,4.518393648619114,0.041797312404700665,0.0151,0.4866144191323783,0.0372
A,78,3.9394799412843575,0.024184790273256054,0.0093,0.45386503823712465,0.0417
A,79,3.9711343516205466,0.03613278684586651,0.0085,0.42940186203230846,0.0406
A,80,4.393272946804094,0.0583883247766966,0.0118,0.42519317753599134,0.048
B,1,5.0,0.03,0.0225,0.5093040786404816,0.0534
B,2,5.871793863272331,0.023790440386218102,0.0378,0.6122689083554687,0.04
B,3,5.1056195073877335,0.049771441909975477,0.0185,0.5173463895961581,0.0526
B,4,4.616678569728358,0.05163051710405653,0.0142,0.4683220377898356,0.0601
B,5,4.638921935045495,0.017070430211469517,0.022,0.5515005571139615,0.0524
B,6,4.952779350611639,0.030162368887118707,0.0185,0.5188585219792919,0.051
B,7,4.8732545362889255,0.07374359109326258,0.0119,0.39549065126098704,0.0582
B,8,4.935519179736033,0.036783189770758416,0.0209,0.513023503599392,0.0512
B,9,3.0198871951724993,0.0906319066708891,0.0023,0.2551687935705466,0.0879
B,10,3.835679138683685,0.09634793054753178,0.0048,0.2926451234463257,0.0846
B,11,4.043307077158801,0.07426433974020157,0.0081,0.39271771585579957,0.0727
B,12,4.268283719726331,0.1043361248654681,0.0044,0.33363525970896174,0.0765
B,13,4.26339279444721,0.09317255582456895,0.0066,0.30189202481835803,0.0689
B,14,5.0712105284074465,0.08962003322856543,0.0119,0.30383005621256587,0.0625
B,15,5.637841326800864,0.07245998219400038,0.0186,0.4180003589155308,0.0467
B,16,4.8596024940309634,0.07217684377633082,0.0124,0.3850310039813292,0.0568
B,17,4.591722021883206,0.1025112143325578,0.007,0.3062836234816172,0.0641
B,18,4.904711221291698,0.0836883199675054,0.0129,0.3876527192993677,0.0608
B,19,3.968682173339756,0.08517799410544566,0.0068,0.3044506062501297,0.0713
B,20,3.9801968238169696,0.0959314545293654,0.0052,0.31623905848527,0.0752
B,21,4.271835475561803,0.08350584380435591,0.0071,0.3680430441906697,0.0705
B,22,4.752030028443737,0.08077336634309432,0.0095,0.406822139765361,0.0646
